id,model_code,name,description,base_price,is_active,category_id,subcategory_id,brand_id,supplier
11,V1021,VINGA Verso blanket,Beautiful blanket with a subtle geometric pattern that will look lovely in your Homeand blend seamlessly with any decor. Made of a synthetic material that is easy to keep clean without compromising on quality feel - the fabric is designed to mimic wool fibre for added comfort.,42.58,true,8,32,3,1
12,102055,Renew AWARE™ rPET 16'' Laptop Sleeve,"Expanding the Renew collection to include a simple but functional zippered padded laptop sleeve made from recycled body fabric, lining, padding, webbing and trims. Fits most laptops up to 16"". Padded main compartment features a side zippered closure. Exterior slash pocket perfect for storing a notebook. Top grab webbing handle. PVC Free Product. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",10.26,true,3,2,1,1
13,V10220,VINGA Retro serving cutlery,Steel serving cutlery with oak handles. A classic and minimalist design in pure Scandinavian style. The utensils are perfect for dinners and special meals at home. Packed in an exclusive gift box.,19.28,true,8,67,3,1
14,102227,Aviana™ Rowan RCS Recycled Water Bottle 740 ML,"Double-wall vacuum insulated 740ml bottle keeps your beverages insulated longer. Made of high-grade, recycled 18/8 stainless steel with a sweatproof design. Two-piece lid system to accommodate wide or narrow flow. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",24.5,true,4,22,2,1
15,102229,Aviana™ Rowan RCS Recycled Mug 450 ML,"Double-wall vacuum insulated 450ml cup keeps your beverages insulated longer. Made of high-grade, RCS recycled 18/8 stainless steel with a sweatproof design. Single-serve friendly for the perfect cup of coffee/tea every time. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",25.84,true,4,26,2,1
16,V10223,VINGA Retro cheese set,"The perfect gift for cheese lovers. A complete set of three cheese knives so you can cut, slice, shave, serve and spread all kinds of hard and soft cheese. This stylish set of cheese knives feature ashwood handles and stainless steel blades which add a touch of style to your after dinner cheese board.",19.28,true,8,67,3,1
17,V10244,VINGA Alcamo serving cutlery,Exclusive oak serving utensils with a fine PU detail. The beautiful wood brings a lively and warm touch to the simple and stylish design. Perfect for both everyday and parties.,14.64,true,8,67,3,1
18,V10322,"VINGA Cromer waffle kitchen towel, 2 pcs","A set of two tea towels made of 100% cotton. The tea towels have a waffle design, combining great looks and quality - perfect for cleaning up the kitchen or drying your hands.",0,true,8,67,3,1
19,V1601,VINGA Kaiser Fillet Set,"Fish filetting set comprising filleting knife, steel-mesh glove and metal soap. The glove provides extra grip on the fish while protecting you from any mishaps. The metal soap removes odours such as fish and onions that other soaps find hard to shift. The knife is made of X50CrMoV15 German steel with a Pakkawood handle. The easy-grip handle and superb balance in the blade makes the knife comfortable and easy to work with. Size: 21 cm blade.",38.74,true,8,67,3,1
20,V1650,VINGA Kaiser Chef´s Knife,Chef's knife made of X50CrMoV15 German steel with a Pakkawood handle. The easy-grip handle and superb balance in the blade makes the knife comfortable and easy to work with. Size: 20 cm blade.,32.26,true,8,67,3,1
21,V1651,VINGA Kaiser Bread Knife,Bread knife made of X50CrMoV15 German steel with a Pakkawood handle. The easy-grip handle and superb balance in the blade makes the knife comfortable and easy to work with. Size: 20 cm blade.,19.88,true,8,67,3,1
22,V16510,VINGA Hattasan Damascus chef’s edition knife,"This chef's edition knife is ideal for cutting meat and larger vegetables or chopping herbs. The sturdy pakkawood handle is ergonomically designed, making the knife easy and comfortable to use. This means you can work with the knife for a long time without tiring your hand. The blade has an incredibly hard core of VG10 steel which is cast in 67 layers of steel. The result is a durable blade with an incredible sharpness and outstanding cutting performance.",77.42,true,8,67,3,1
23,V1653,VINGA Kaiser Santoku Knife,Santoku knife made of X50CrMoV15 German steel with a Pakkawood handle. The easy-grip handle and superb balance in the blade makes the knife comfortable and easy to work with. Size: 14 cm blade.,24.58,true,8,67,3,1
24,V1654,VINGA Hattasan chef's knife,"High-quality chef's knife in Japanese steel (420 J2). An incredibly sharp knife that keeps its edge for a long time. The knife has a wide blade that is slightly curved along the edge. A versatile knife that can be used for everything from peeling, chopping, and slicing vegetables, to trimming meat.",23.18,true,8,67,3,1
25,V1655,VINGA Kaiser Chef´s Set,Set of one chef’s knife and one paring knife. The knives are made of X50CrMoV15 German steel with a Pakkawood handle. The easy-grip handle and superb balance in the blade makes the knife comfortable and easy to work with. Chef's knife: 20 cm blade. Paring knife: 8 cm blade.,46.18,true,8,67,3,1
26,V16550,VINGA Hattasan Damascus Santoku knife,"This Santoku knife is ideal for cutting meat and larger vegetables or chopping herbs. The sturdy pakkawood handle is ergonomically designed, making the knife easy and comfortable to use. This means you can work with the knife for a long time without tiring your hand. The blade has an incredibly hard core of VG10 steel which is cast in 67 layers of steel. The result is a durable blade with an incredible sharpness and outstanding cutting performance.",77.42,true,8,67,3,1
27,V1657,VINGA Hattasan santoku knife,High quality knife in Japanese steel (420 J2). Santoku is a Japanese knife with high versatility and therefore resembles a traditional chef's knife. The difference is that the santoku knife has a shorter blade which makes it faster to cut with and more comfortable for the knuckles to rest on. The knife is used by many as an all-round knife because it is smaller and more handy.,19.28,true,8,67,3,1
28,V1658,VINGA Hattasan fillet set,"Fillet knife made of high quality Japanese 420J steel. The fillet knife has a long, thin and flexible blade - perfect for precise cuts. You can use the knife for filleting fish or carving ham for example.The set comes with metal soap that removes odours such as fish and garlic. The box also includes a tweezer to remove small bones from fish. The perfect gift for cooking enthusiasts.",18.8,true,8,67,3,1
29,V19145,"VINGA Montgomery premium cotton bed linen, 4 pcs set","Experience the ultimate comfort with our bedding set - made of 100% cotton carefully woven with a thread count of 144 TC. This set includes two pillowcases and two duvet covers, all designed to offer a soft and luxurious feel against the skin. Our bedding set is both practical and stylish, helping you create a cozy and comfortable bed where you can enjoy a good night's sleep. This bedding set is only available in Swedish standard sizes (duvet cover 150x210 cm, pillowcase 50x60 cm). As bedding sizes can vary across Europe, we recommend checking the measurements to ensure a proper fit. OEKO-TEX® STANDARD 100. 11-47893 Shirley.",64.58,true,8,32,3,1
30,V19454,VINGA Lenox blanket,"Jacquard woven throw with a subtle geometric pattern that gives the throw a stylish design ideal for home. A lovely pattern for anyone interested in more than just comfort alone but also wanting something that gives their Homea more stylish look. Made of 100% acrylic, a man-made synthetic material with properties designed to mimic wool fibre.",38.74,true,8,32,3,1
31,V1946,VINGA Bilton recycled blanket,"Lovely mélange fleece plaid that you will not want to let go of, regardless of whether you are sitting outside on a beautiful summer evening or lounging on the couch at home. Made of 30% recycled polyester fibre. You can easily transform it into a practical poncho with the discreet button on the long side of the plaid. OEKO-TEX Standard 100 means that the material of the plaid meets a number of product safety criteria.",23.18,true,8,32,3,1
32,V21200,VINGA Baron copper sauté pan,"Exclusive tri-ply copper sauté pan with lid. The first layer is the copper exterior and the interior consists of a layer of aluminium and a layer of stainless steel, which make it easy to clean. The copper and aluminium layers conduct heat well, allowing the pan to heat up quickly and evenly. The base has been reinforced with a thicker stainless steel plate which allows for use on an induction hob. The pan has a stainless steel handle that stays cool during cooking. Suitable for all types of hobs.",55.36,true,8,67,3,1
33,V21202,VINGA Baron copper saucepan,"Exclusive tri-ply copper saucepan. The first layer is the copper exterior, the interior consists of a layer of aluminium and a layer of stainless steel, which make it easy to clean. The copper and aluminium layers conduct heat well, allowing the pot to heat up quickly and evenly. The base has been reinforced with a thicker stainless steel plate which allows for use on an induction hob. The saucepan has stainless steel handles that stay cooler while cooking. Suitable for all types of stoves, including induction.",66.36,true,8,67,3,1
34,V21204,VINGA Baron copper pot,"Exclusive tri-ply copper pot. The first layer is the copper exterior, the interior consists of a layer of aluminium and a layer of stainless steel, which make it easy to clean. The copper and aluminium layers conduct heat well, allowing the pot to heat up quickly and evenly. The base has been reinforced with a thicker stainless steel plate which allows for use on an induction hob. The pot has stainless steel handles that stay cooler while cooking. Suitable for all types of stoves, including induction.",44.22,true,8,67,3,1
35,V21206,VINGA Baron copper roaster,"Exclusive tri-ply copper oven dish. The first layer is the copper exterior, the interior consists of a layer of aluminium and a layer of stainless steel, which make it easy to clean. The copper and aluminium layers conduct heat well, allowing the pot to heat up quickly and evenly.",66.36,true,8,67,3,1
36,V215S,VINGA Sovano apron,"Apron made from 70% certified recycled cotton from suppliers' cotton waste. Fibres that are usually considered unusable have, with the appropriate manufacturing process, achieved the desired properties. This apron is extra wide to provide maximum protection. Two large front pockets and a loop for hanging utensils or a tea towel.",14.36,true,8,67,3,1
37,V215,VINGA Asado Apron,Robust apron in stonewashed canvas 500 gsm with PU material details. An apron that ages with dignity.,24.5,true,8,67,3,1
38,V216,VINGA Tome GRS recycled canvas Apron,"Apron made from 87% verified recycled material. This stylish apron is a practical kitchen accessory with a wonderful design. The apron has a pocket on the front and a loop for hanging utensils or kitchen towels, so you have everything to hand when you're in the middle of cooking. The apron has a soft and adjustable neck strap for increased comfort. Made from GRS (Global Recycled Standard) certified recycled materials. GRS certification ensures a fully certified supply chain of the recycled materials. Total recycled content is based on total product weight. This product contain 87% recycled cotton/polyester.",28.36,true,8,67,3,1
39,V217,VINGA Casbas Apron,Stylish and classic apron in thick cotton canvas with discreet details in PU. Adjustable buckle closure at the top and large pocket in the front. An apron with a long lifespan that only gets more beautiful with time.,24.58,true,8,67,3,1
40,V219,VINGA Asado First Aid Kit,"A first aid kit from our popular Asado-series. The fabric bag with a zipper contains everything you need in case of minor accidents such as band-aids, scissors, bandages, etc. Packed in a plastic bag.",12.86,true,7,42,3,1
41,V30710,VINGA Gigaro cheese knives,An exclusive stainless steel cheese knife set consisting of two cheese knives and a butter knife with a black pakka wood handle. Packed in an exclusive gift box.,21.92,true,8,67,3,1
42,V30711,VINGA Gigaro serving cutlery,High-quality salad servers in a typical French bistro style. Black pakkawood handle and high-quality stainless steel blade. Packaged in an exclusive gift box.,14.36,true,8,67,3,1
43,V30712,VINGA Gigaro meat knives,High-quality meat knives in typical French-inspired bistro style. Black pakka wood handle and high-quality stainless steel blades. The blade has a fine grating that allows you to cut through food with as little resistance as possible. A set of four knives which you can easily match with your forks at home. Packed in an exclusive gift box.,25.76,true,8,67,3,1
44,V30714,VINGA Gigaro trancher set,Trancher set with knife and fork in typical French-inspired bistro style. Black pakka wood handle and high-quality stainless steel blades. Packed in an exclusive gift box.,38.74,true,8,67,3,1
45,V31801,VINGA Buscot horizontal serving board,Stylish cutting/serving board that will brighten up any kitchen. The cutting board is made of FSC®-certified teak and has a beautiful golden to medium brown wood shade which darkens over time. The board has a high oil content which makes it very resistant to decay. Equipped with a sturdy handle that allows it to be easily moved from kitchen to table.,25.76,true,8,67,3,1
46,V3181,VINGA Buscot Round Serving Board,"High-quality round cutting board that thanks to its large size and decorative design can be used for serving as well. A useful handle further simplifies the handling and serving process. The board is made of FSC®-certified teak and has a beautiful golden to medium brown wood surface that darkens over time. The high oil content gives the board a powerful protection against decay, and keeps it in a fine condition for a long time.",38.74,true,8,67,3,1
47,V3182,VINGA Buscot Utility Cutting Board,"Cutting/serving board large enough for both cutting, preparing and serving. The board is provided with a handy holder for tablet or mobile phone, so you can easily use it while following your favourite recipes online. There is also a deep juice groove that runs along the whole board with a pouring spout avoiding unnecessary spillage. Made of FSC®-certified teak.",32.26,true,8,67,3,1
48,V3183,VINGA Buscot Rectangular Serving Board,"Stylish cutting/serving board that will look great in any kitchen. The spacious surface makes it easy to use it for both cutting and serving. The board is made of FSC®-certified teak and has a beautiful golden to medium brown wood surface that darkens over time. The high oil content provides a powerful protection against decay, and keeps it in a fine condition for a long time.",29.68,true,8,67,3,1
49,V3184,VINGA Buscot Long Serving Board,"Robust and very handy cutting/serving board that thanks to its length of 75 cm and width of 15 cm has a large enough surface for being used both for cutting and serving.  The board is made of FSC®-certified teak and has a beautiful golden to medium brown wood surface that darkens over time. The high oil content gives the board a powerful protection against decay, and keeps it in a fine condition for a long time.",32.26,true,8,67,3,1
50,V3339,VINGA Cooking tong,"Cooking tong made of stainless steel, easy to use for different sizes of food. The ribbed inside of the tweezer top increases the friction which improves your grip.",8.82,true,8,67,3,1
51,V3373,VINGA Kaiser Honing Set,Chef’s knife and honing steel from the Kaiser range. The knife is crafted from X50CrMoV15 German steel and the handle made of Pakkawood. The easy-grip handle and superb balance in the blade makes the knife comfortable and easy to work with. The inherent properties of the German steel make the blade stain resistant and requiring no more care than occasional sharpening. Chef’s knife: 20 cm blade. Honing steel: 33 cm.,33.22,true,8,67,3,1
52,V35301,VINGA Paso turner,"A solid stainless steel spatula, perfect for frying fish or pizza. Ash wood handle.",5.48,true,6,16,3,1
53,V355,"VINGA Nomimono bowl, 31 cm","Lovely stoneware serving bowl. Great for a large fruit bowl or a lovely salad. Nomimono draws its inspiration from nature and the earth around us, creating this rustic range in natural earth tones where no two items are the same. Japanese meets Scandinavian, rustic meets modern. Collectibles for a down-to-earth and inspiring serving. Each item is handmade and unique. Every item is glazed three times to obtain the right kind of finish. Dishwasher and microwave safe.",21,true,8,29,3,1
54,V366,"VINGA Nomimono plate 26,5 cm, 2 pcs set","Set of two stoneware plates. Nomimono draws its inspiration from nature and the earth around us, creating this rustic range in natural earth tones where no two items are the same. Japanese meets Scandinavian, rustic meets modern. Collectibles for a down-to-earth and inspiring serving. Each plate is handmade and glazed three times in order to obtain the right kind of finish. It makes each item completely unique. Dishwasher and microwave safe.",21,true,8,29,3,1
55,V3669,VINGA Nomimono serving set,"Stoneware serving dish with three small bowls. Unlimited possibilities: Tapas, dips or snacks. The serving dish alone is great for serving salads or canapés. Nomimono draws its inspiration from nature and the earth around us, creating this rustic range in natural earth tones where no two items are the same. Japanese meets Scandinavian, rustic meets modern. Collectibles for a down-to-earth and inspiring serving. Each item is handmade and unique. Every item is glazed three times to obtain the right kind of finish. Dishwasher and microwave safe.",21,true,8,29,3,1
56,V369,"VINGA Nomimono deep bowl, 30 cm","Lovely serving bowl made of stoneware with higher edges, making it elegantly uneven. Perfect for serving a delicious noodle salad or a pasta dish. Each item is handmade and glazed three times in order to obtain the right kind of finish. It makes each item completely unique. Dishwasher and microwave safe.",27.64,true,8,29,3,1
57,V356,"VINGA Nomimono bowl, 21 cm",Bowl made from stoneware that that forms part of the popular Nomimono-series. This bowl is suitable for both cold salads and freshly boiled potatoes. Each item is handmade and glazed three times in order to obtain the right kind of finish. It makes each item completely unique. Dishwasher and microwave safe.,22.08,true,8,29,3,1
58,V3572,VINGA Nomimono tapas set,"A beautiful serving set that includes two bowls and a wooden plate. Great for serving small dishes such as tapas, olives or midsummer mushrooms. Nomimono draws its inspiration from nature and the earth around us, creating this rustic range in natural earth tones where no two items are the same. Japanese meets Scandinavian, rustic meets modern. Collectibles for a down-to-earth and inspiring serving. Each item is handmade and unique. Every item is glazed three times to obtain the right kind of finish. Dishwasher and microwave safe.",25.76,true,8,29,3,1
59,V357,"VINGA Nomimono plate 20 cm, 2 pcs set","Set of two stoneware plates.  Nomimono draws its inspiration from nature and the earth around us, creating this rustic range in natural earth tones where no two items are the same. Japanese meets Scandinavian, rustic meets modern. Collectibles for a down-to-earth and inspiring serving. Each item is handmade and unique. Every item is glazed three times to obtain the right kind of finish. Dishwasher safe.",16.52,true,8,29,3,1
60,V368,"VINGA Nomimono bowl set mini, 4 pcs set","A bowl set of four smaller bowls in a linear design. Each product is made of stoneware that has been glazed three times for the right finish. This makes each product unique, which is also a big part of Nomimono's charm. Collectibles for a down-to-earth and inspiring serving.",16.52,true,8,29,3,1
61,V367,"VINGA Nomimono bowl 15,5 cm, 2 pcs set","Set of two small bowls. Japanese meets Scandinavian, rustic meets modern. Nomimono draws its inspiration from nature and the earth around us, creating this rustic range in natural earth tones where no two items are the same. Each product is handmade stoneware that has been glazed three times for the right finish. This makes each product unique, which is also a big part of Nomimono’s charm. Collectibles for a down-to-earth and inspiring serving.",16.52,true,8,29,3,1
62,V4177G,VINGA Harper bathrobe S/M,"Luxurious robe in 100% cotton. The robe is a classic model with an extra wide collar and belt at the waist. It also has several nice details, such as enclosed seams and contrasting piping on the collar. Made of a long cotton fibre with untwisted threads. The result is an incredibly soft robe that you'll never want to take off.",55.36,true,8,30,3,1
63,V4177W,VINGA Harper bathrobe L/XL,"Luxurious robe in 100% cotton. The robe is a classic model with an extra wide collar and belt at the waist. It also has several nice details, such as enclosed seams and contrasting piping on the collar. Made of a long cotton fibre with untwisted threads. The result is an incredibly soft robe that you'll never want to take off.",55.36,true,8,30,3,1
64,V453100,VINGA Sheep GRS recycled PET pile blanket,"Soft and fluffy plaid in high-quality sherpa at 500 gsm. The plaid is made from 70% recycled material from PET bottles. Printed with sheep pattern designed by Björkforth Rotor and with an attractive matching grey sherpa underside. We don't like to transport air, so we've chosen to vacuum-pack this rug to reduce our carbon footprint. OEKO-TEX Standard 100 means that the fabrics used meet multiple product safety criteria. Certified by GRS (Global Recycled Standard), GRS certification ensures a completely certified supply chain of the recycled materials. The total recycled content is based on the overall product weight. This product contains 70% GRS certified recycled PET.",51.6,true,8,32,3,1
65,V472,VINGA Asado oven mitt,Practical and stylish oven glove made of cotton canvas. Generously padded to protect your hands when you're taking hot dishes from the kitchen to the table. You can hang the stylish oven glove up in your kitchen with the handy loop when not in use - ready to grab when you are about to take out a searing hot dish! Suitable for right and left handed users.,12.84,true,8,67,3,1
66,V4950G,VINGA Louis luxury plush GRS RPET robe size S-M,"Soft, cosy robe in luxury plush material with a large hood and decorative piping. Two front pockets and a waist belt. The robe is made from 70% recycled material from PET bottles. We don't like to transport air, so we've chosen to vacuum-pack this robe to reduce our carbon footprint. OEKO-TEX Standard 100 means that the robe's material meets multiple product safety criteria. Manufactured by GRS (Global Claim Standard), the GRS certification ensures that the entire supply chain of the recycled materials is certified. Total recycled content is based on total product weight. Size S/M.",38.66,true,8,30,3,1
67,V960T,VINGA Louis luxury plush RPET robe size L-XL,"Soft, cosy robe in luxury plush material with a large hood and decorative piping. Two front pockets and a waist belt. The robe is made from 70% recycled material from PET bottles. We don't like to transport air, so we've chosen to vacuum-pack this robe to reduce our carbon footprint. OEKO-TEX Standard 100 means that the robe's material meets multiple product safety criteria regarding product safety. Manufactured by GRS (Global Claim Standard), the GRS certification ensures that the entire supply chain of the recycled materials is certified. Total recycled content is based on total product weight. Size L/XL",64.58,true,8,30,3,1
68,V5001,VINGA Baltimore Backpack,"Minimalistic and clean backpack that suits all occasions. The backpack is made of PU-material and has adjustable straps for optimal comfort. The backpack is also equipped with a zipper pocket on one side and a hidden pocket on the back, so you can easily turn your back without worrying about your valuables. Works equally well as a work bag and as a school bag.Suitable for computers with an overall size of 17 inches. Please note that the dimensions of the display are not the same as the dimensions of the entire computer.",45.24,true,3,1,3,1
69,V5002,VINGA Baltimore Weekendbag,"You won't go unnoticed with this spacious weekend bag over your shoulder, as it is both stylish and minimalistic. The bag has an adjustable strap, so you can travel with comfort regardless of whether it is a work trip or a vacation. In order to provide better organisational capacity, the bag has been equipped with a zipper pocket on one side and a small pocket with a push button on the other one. Made of nubuck PU-Material which gives the bag its water-repellent properties.",51.6,true,3,3,3,1
70,V5003,VINGA Baltimore Travel Backpack,"This backpack comes in a minimalistic and modern design and has handy organizational capacities, ensuring that you can fully utilize all of its space. There is a padded compartment for the computer and a hidden pocket on the back for safe storage of the valuables. The backpack's handy size, adjustable straps and well-planned compartments make it easy for you to carry everything that you need on the go. A perfect companion for short trips or nightovers. Made of PU which gives the bag its water-repellent properties.Suitable for computers with an overall size of 17 inches. Please note that the dimensions of the display are not the same as the dimensions of the entire computer.",51.6,true,3,2,3,1
71,V5004,VINGA Baltimore Wash Bag,"A toiletry bag that is not only practical and handy, but also minimalistic with a modern design. The bag is made of a water-repellent material, therefore you don't have to worry about its contents. The bag closes with a zipper and is ideal for traveling. Made of nubuck PU-Material which gives the bag its water-repellent properties.",19.34,true,3,8,3,1
72,V5005,VINGA Baltimore Computer Bag,"Modern and clean design computerbag. Functions and form comes together, besides the ordinary computer pocket this bag also has place for pens, documents and other belongings. The bag is produced in a water repellent material, with both shoulder strap and carry handles. It also includes an attached band on the backside, so it fits your trolley when travelling.Suitable for computers with an overall size of 17 inches. Please note that the dimensions of the display are not the same as the dimensions of the entire computer.",45.1,true,3,2,3,1
73,V5007,VINGA Baltimore Sporter,The Baltimore series workout bag for the gym or for a short weekend. The bag has an adjustable shoulder strap. Nubuck PU bag with water repellent properties.,42.58,true,3,3,3,1
74,V5008,VINGA Baltimore organiser,"Keep all essentials near at hand with this handy organiser. This gives you a space for everything you need during a day, such as headphones, power bank, pens and notebooks. The snap hook on the short side allows you to attach the bag to a larger bag.",25.76,true,3,67,3,1
75,V5009,VINGA Baltimore Cooler Bag,"Minimalist cooler bag, made of water-repellent PU nubuck. Long handles and adjustable shoulder strap for optimal comfort. The cooler bag is insulated with extra thick foam. The lining of the bag is made of so-called PEVA which is easy to keep clean and fresh. A cooler bag perfect for both the Beachand a wilderness adventure.",38.74,true,6,15,3,1
76,V5010,VINGA Baltimore tote bag,"A small, sleek bag made of a lightweight, water-resistant nubuck PU fabric with a stylish matte exterior and a lightweight synthetic fabric interior. The main compartment closes with a zipper. Sturdy handles so you can fill the bag properly.",32.26,true,3,1,3,1
77,V5011,VINGA Baltimore gym bag,"Stylish, minimalist gym bag made of a lightweight, water-resistant nubuck PU fabric with a chic matte exterior and a lightweight synthetic fabric interior. The main compartment closes with a zipper. Several interior compartments provide excellent organisational possibilities. The shoe compartment on the short side prevents shoes from soiling the bag's contents. Sturdy handles so you can fill the bag properly. Adjustable shoulder strap.",64.58,true,3,3,3,1
78,V5012,VINGA Baltimore gym backpack,"This backpack has a large main compartment and two side compartments for rackets. One short side has a separate compartment for shoes. Small, concealed zippered pockets for valuables. The main compartment has several pockets inside for balls or other items. This bag can be carried either as a backpack or as a sports bag. The backpack shoulder straps are padded for shoulder comfort and adjustable to ensure the perfect fit.",73.72,true,3,3,3,1
79,V5013,VINGA Baltimore office tote,"This stylish bag is made in a light, water-repellent nubuck PU fabric with an elegant matt exterior and a light synthetic cloth interior. The perfect tote for school, work, or a stroll in the city. With a classic and timeless design, this bag has universal appeal. The padded compartment offers a safe, convenient way to carry your laptop. In addition to storage for your computer, the bag has several inner pockets for pens, documents and more.Suitable for computers with an overall size of 17 inches. Please note that the dimensions of the display are not the same as the dimensions of the entire computer.",33.22,true,3,2,3,1
80,V5014,VINGA Baltimore trail cooler backpack,"A minimalist cooler backpack made in water-repellent nubuck PU. This cooler backpack is insulated with extra thick foam and lined with so-called PEVA, a material that is easy to keep clean and fresh. A fantastic backpack for the beach, boat, or wilderness adventure.",47.76,true,6,15,3,1
81,V5016,"VINGA Baltimore laptopcase 15""","A stylish laptop case to protect your computer from bumps and moisture. Made in a light, water-repellent nubuck PU fabric with an elegant matt exterior and a light synthetic cloth interior. Suitable for computers with an overall size of 15 inches. Please note that the dimensions of the display are not the same as the dimensions of the entire computer.",25.76,true,3,2,3,1
